created_django,modified_django,img_url,full_id,look_id,hype,created,country,hashtags
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/12/5422070_image.jpg?1555058142,9164084-Island-Ready,9164084,197,2019-04-07 22:35:45.676939,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/10/5421865_image.jpg?1554915750,9163714-Tropical-Vibes,9163714,155,2019-04-07 22:35:45.694018,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/08/5421546_image.jpg?1554738155,9163106-Floral-Affair,9163106,135,2019-04-07 22:35:45.712906,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/08/5421545_image.jpg?1554738062,9163104-Weekend-Hangs-And-Sha,9163104,185,2019-04-07 22:35:45.730848,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/05/5421187_image.jpg?1554477133,9162416-Wearing-Skirts-All-Summer,9162416,175,2019-04-07 22:35:45.747528,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/05/5421156_rena_love_collage1re1.jpg?1554472747,9162360-Farewe,9162360,111,2019-04-07 22:35:45.762681,India,"bohemian,sequin,gypsy,idressfortheapplause"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/03/5420877_orange.jpg?1554299204,9161824-Valley-Winter-Song,9161824,128,2019-04-07 22:35:45.778737,India,"coralshrug,pinkmaxi,winteroutfit,idressfortheapplause"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/04/02/5420725_image.jpg?1554223669,9161542-Indian-At-Heart,9161542,144,2019-04-07 22:35:45.797026,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/03/31/5420358_image.jpg?1554052315,9160840-Neon-Overdose,9160840,109,2019-04-07 22:35:45.814393,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/03/28/5419949_white_boho3.jpg?1553782433,9160048-Where-I-Find-You,9160048,138,2019-04-07 22:35:45.830378,India,"lace,kimono,tanbag,gladiators,nazninsuhaer"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/03/27/5419791_image.jpg?1553702324,9159754-,9159754,142,2019-04-07 22:35:45.892346,India,"monalishamahapatra,thegreyhalfway,indianfashionblogger,delhiblogger,bloggersofindia"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/03/26/5419617_Y-Re-16.jpg?1553619298,9159428-Zaful-Jacket-Sweet-Home-Alabama,9159428,173,2019-03-07 22:35:45.912131,India,"plaid,70sfashion,coat,layering,tallboots"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/12/5434133_IMG_20190712_154345.jpg?1562917982,9186792-2-19-712,9186792,108,2019-07-07 22:35:50.001250,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/12/5434073_IMG_8891.jpg?1562895870,9186680-Madewell-Floral-Top-Club-Monaco-Aiden-White,9186680,530,2019-07-07 22:35:50.024327,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/11/5433877_IMG_20190711_153425.jpg?1562830867,9186306-2-19-711,9186306,143,2019-07-07 22:35:50.044410,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/11/5433876_Photo_7-7-2019__21_23_55_(1).jpg?1562829955,9186304-Harsh-And-Curel-Patchwork-Tee-Uniqlo-Cargo-Shorts,9186304,69,2019-07-07 22:35:50.069353,Hong Kong,"graytone,gray,patchwork,tee,tshirt"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/10/5433801_IMG_20190711_011623.jpg?1562779789,9186174-2-19-71,9186174,172,2019-07-07 22:35:50.088164,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/09/5433672_Photo_14-6-2019__10_56_15_(1).jpg?1562692367,9185928-Online-Shop-Utility-Vest-Cotton-On-Tee-Gu-Loose,9185928,82,2019-07-07 22:35:50.108910,Hong Kong,"blackandwhite,utilityvest,vest,tee,tshirt"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/09/5433607_IMG_20190709_150721.jpg?1562656987,9185808-2-19-7-9,9185808,159,2019-07-07 22:35:50.132087,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/08/5433502_Photo_20-5-2019__11_02_41.jpg?1562592086,9185614-Nike-Print-Tee-Uniqlo-Shorts-Vans-Two-Tone-Era,9185614,73,2019-07-07 22:35:50.159347,Hong Kong,"logoprint,printtee,tee,tshirt,nike"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/08/5433455_IMG_20190708_145306.jpg?1562569159,9185524-2-19-7-8,9185524,111,2019-07-07 22:35:50.180622,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/07/5433371_IMG_20190707_215544.jpg?1562508274,9185364-2-19-7-7,9185364,66,2019-07-07 22:35:50.204760,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/07/5433341_Photo_4-6-2019__11_02_22.jpg?1562489460,9185308-Uniqlo-Cardigan-Cotton-On-Tee-Nikoand-Loose,9185308,67,2019-07-07 22:35:50.223036,Hong Kong,"blackandwhite,monotone,cardigan,uniqlo,tee"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/07/06/5433254_IMG_20190706_182959.jpg?1562409503,9185140-2-19-7-6,9185140,93,2019-07-07 22:35:50.243608,Hong Kong,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/03/5444152_inCollage_20190922_113922277.jpg?1570097126,9205714-Lemon-And-Green,9205714,566,2019-10-02 22:35:53.935216,Ukraine,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/28/5443586_IMG_4247_(1).jpg?1569703875,9204642-Face-Pop-Art-Maxi-Dress,9204642,581,2019-09-28 22:35:54.019858,Ukraine,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/28/5443584_0CB510AE-D7AC-4585-A07D-DE91A17B693D.jpg?1569701591,9204638-Vintage-Mood,9204638,538,2019-09-28 22:35:54.077579,Ukraine,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/09/24/5443050_kristelle__krist_elle__krist_elle_instagram__krist_elle_insta__private_content__private_content_brand_.jpg?1569316176,9203642-Rebellious-White-Shirt-Dress-Krist-Elle-Fashion,9203642,821,2019-09-23 22:35:54.110227,Ukraine,
